[2025-06-27T22:13:49.223061] INFO: Starting notify file check
[2025-06-27T22:13:49.223702] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:49.223733] INFO: Completed notify file check
[2025-06-27T22:13:51.932104] INFO: Command appended: whoami for agent stepharoos
[2025-06-27T22:13:51.932321] INFO: Command appended: whoami for agent stepharoos
[2025-06-27T22:13:54.224130] INFO: Starting notify file check
[2025-06-27T22:13:54.224600] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:54.224623] INFO: Completed notify file check
[2025-06-27T22:13:59.225643] INFO: Starting notify file check
[2025-06-27T22:13:59.226210] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:59.226389] INFO: Marked agent stepharoos as Offline due to timeout
[2025-06-27T22:13:59.226522] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:13:59.226541] INFO: Completed notify file check
[2025-06-27T22:14:04.227160] INFO: Starting notify file check
[2025-06-27T22:14:04.227674] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:04.227696] INFO: Completed notify file check
[2025-06-27T22:14:09.228120] INFO: Starting notify file check
[2025-06-27T22:14:09.228574] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:09.228595] INFO: Completed notify file check
[2025-06-27T22:14:14.229019] INFO: Starting notify file check
[2025-06-27T22:14:14.229609] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:14.229630] INFO: Completed notify file check
[2025-06-27T22:14:19.229806] INFO: Starting notify file check
[2025-06-27T22:14:19.230318] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:19.230340] INFO: Completed notify file check
[2025-06-27T22:14:24.230528] INFO: Starting notify file check
[2025-06-27T22:14:24.231057] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:24.231079] INFO: Completed notify file check
[2025-06-27T22:14:27.187806] INFO: Command appended: ipconfig for agent stepharoos
[2025-06-27T22:14:27.187990] INFO: Command appended: ipconfig for agent stepharoos
[2025-06-27T22:14:29.231468] INFO: Starting notify file check
[2025-06-27T22:14:29.232041] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:29.232326] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:29.232344] INFO: Completed notify file check
[2025-06-27T22:14:34.232611] INFO: Starting notify file check
[2025-06-27T22:14:34.233110] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:34.233159] INFO: Completed notify file check
[2025-06-27T22:14:39.233673] INFO: Starting notify file check
[2025-06-27T22:14:39.234161] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:39.234212] INFO: Completed notify file check
[2025-06-27T22:14:44.234358] INFO: Starting notify file check
[2025-06-27T22:14:44.234877] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:44.234904] INFO: Completed notify file check
[2025-06-27T22:14:46.567038] INFO: Command appended: whoami /priv for agent stepharoos
[2025-06-27T22:14:46.567194] INFO: Command appended: whoami /priv for agent stepharoos
[2025-06-27T22:14:49.235350] INFO: Starting notify file check
[2025-06-27T22:14:49.235931] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:49.236401] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:49.236420] INFO: Completed notify file check
[2025-06-27T22:14:54.236792] INFO: Starting notify file check
[2025-06-27T22:14:54.237288] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:54.237310] INFO: Completed notify file check
[2025-06-27T22:14:57.045889] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:14:57.046075] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:14:59.237791] INFO: Starting notify file check
[2025-06-27T22:14:59.238404] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:14:59.238434] INFO: Completed notify file check
[2025-06-27T22:15:04.239217] INFO: Starting notify file check
[2025-06-27T22:15:04.239734] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:04.240071] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:04.240090] INFO: Completed notify file check
[2025-06-27T22:15:09.240434] INFO: Starting notify file check
[2025-06-27T22:15:09.240843] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:09.240879] INFO: Completed notify file check
[2025-06-27T22:15:14.241297] INFO: Starting notify file check
[2025-06-27T22:15:14.241776] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:14.241797] INFO: Completed notify file check
[2025-06-27T22:15:14.392560] INFO: Command appended: cd Desktop for agent stepharoos
[2025-06-27T22:15:14.394132] INFO: Command appended: cd Desktop for agent stepharoos
[2025-06-27T22:15:16.863613] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:15:16.863802] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:15:19.241965] INFO: Starting notify file check
[2025-06-27T22:15:19.242551] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:19.242905] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:19.242927] INFO: Completed notify file check
[2025-06-27T22:15:24.243100] INFO: Starting notify file check
[2025-06-27T22:15:24.243626] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:24.243649] INFO: Completed notify file check
[2025-06-27T22:15:29.244111] INFO: Starting notify file check
[2025-06-27T22:15:29.244598] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:29.244620] INFO: Completed notify file check
[2025-06-27T22:15:30.359483] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:15:30.359675] INFO: Command appended: dir for agent stepharoos
[2025-06-27T22:15:34.245032] INFO: Starting notify file check
[2025-06-27T22:15:34.245832] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:34.246116] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:34.246134] INFO: Completed notify file check
[2025-06-27T22:15:39.246329] INFO: Starting notify file check
[2025-06-27T22:15:39.247089] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:39.247117] INFO: Completed notify file check
[2025-06-27T22:15:44.247336] INFO: Starting notify file check
[2025-06-27T22:15:44.247840] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:44.247859] INFO: Completed notify file check
[2025-06-27T22:15:49.248498] INFO: Starting notify file check
[2025-06-27T22:15:49.248985] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:49.249005] INFO: Completed notify file check
[2025-06-27T22:15:50.379934] INFO: Command appended: calc.exe for agent stepharoos
[2025-06-27T22:15:50.380119] INFO: Command appended: calc.exe for agent stepharoos
[2025-06-27T22:15:54.249531] INFO: Starting notify file check
[2025-06-27T22:15:54.250097] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:54.250394] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:54.250414] INFO: Completed notify file check
[2025-06-27T22:15:59.250967] INFO: Starting notify file check
[2025-06-27T22:15:59.251239] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:15:59.251291] INFO: Completed notify file check
[2025-06-27T22:16:04.251871] INFO: Starting notify file check
[2025-06-27T22:16:04.252158] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:04.252215] INFO: Completed notify file check
[2025-06-27T22:16:08.635795] INFO: Command appended: calc.exe for agent stepharoos
[2025-06-27T22:16:08.635952] INFO: Command appended: calc.exe for agent stepharoos
[2025-06-27T22:16:09.252882] INFO: Starting notify file check
[2025-06-27T22:16:09.253168] INFO: Saved agents to /home/kali/BITStreamC2/agents.json
[2025-06-27T22:16:09.253226] INFO: Completed notify file check
[2025-06-27T22:16:12.135642] INFO: Command appended: notepad for agent stepharoos
